"Number","Status","Date/Time","Qty.","Total amount","Items Description","Subtotal","Discount","Sales tax","Delivery","Total","Profits","Payment Method","Customer","Salesperson","Observation"
"16824-2","Sale","06/17/2026 6:39 PM",1,1,"1xRefri 310ml","7",0,0,0,"7","1","Pix","","Lucas",""
"16825-2","Sale","06/17/2026 6:52 PM",1,1,"1xChurros de chocolate ","10",0,0,0,"10","2","Tarjeta Crédito","","Lucas",""
"16817-2","Sale","06/17/2026 5:15 PM",1,1,"1xMilkshake 500ml","16",0,0,0,"16",0,"Efectivo","","Lucas",""
"16826-2","Sale","06/18/2026 2:15 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Efectivo","","Lucas",""
"16827-2","Sale","06/18/2026 2:17 PM",1,1,"1xMilkshake 300ml","11",0,0,0,"11","1","Efectivo","","Lucas",""
"16828-2","Sale","06/18/2026 2:58 PM",1,1,"1xCrepe suíço doce","11",0,0,0,"11","3","Efectivo","","Lucas",""
"16829-2","Sale","06/18/2026 3:25 PM",1,1,"1xRefri 310ml","7",0,0,0,"7","1","Efectivo","","Lucas",""
"16830-2","Sale","06/18/2026 3:30 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Tarjeta Débito","","Lucas",""
"16831-2","Sale","06/18/2026 3:35 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Tarjeta Débito","","Lucas",""
"16832-2","Sale","06/18/2026 3:41 PM",1,2,"2xMilkshake 400ml","28",0,0,0,"28","2","Tarjeta Débito","","Lucas",""
"16833-2","Sale","06/18/2026 4:18 PM",2,2,"1xChurros de chocolate , 1xMilkshake 300ml","21",0,0,0,"21","3","Efectivo","","Lucas",""
"16834-2","Sale","06/18/2026 4:38 PM",1,1,"1xChurros de chocolate ","10",0,0,0,"10","2","Efectivo","","Lucas",""
